,FileName,Guidewire_Segmentation
0,guide_wire_0000_ultrasound.png,guide_wire_0000_segmentation.png
1,guide_wire_0001_ultrasound.png,guide_wire_0001_segmentation.png
2,guide_wire_0002_ultrasound.png,guide_wire_0002_segmentation.png
3,guide_wire_0003_ultrasound.png,guide_wire_0003_segmentation.png
4,guide_wire_0004_ultrasound.png,guide_wire_0004_segmentation.png
5,guide_wire_0005_ultrasound.png,guide_wire_0005_segmentation.png
6,guide_wire_0006_ultrasound.png,guide_wire_0006_segmentation.png
7,guide_wire_0007_ultrasound.png,guide_wire_0007_segmentation.png
8,guide_wire_0008_ultrasound.png,guide_wire_0008_segmentation.png
9,guide_wire_0009_ultrasound.png,guide_wire_0009_segmentation.png
10,guide_wire_0010_ultrasound.png,guide_wire_0010_segmentation.png
11,guide_wire_0011_ultrasound.png,guide_wire_0011_segmentation.png
12,guide_wire_0012_ultrasound.png,guide_wire_0012_segmentation.png
13,guide_wire_0013_ultrasound.png,guide_wire_0013_segmentation.png
14,guide_wire_0014_ultrasound.png,guide_wire_0014_segmentation.png
15,guide_wire_0015_ultrasound.png,guide_wire_0015_segmentation.png
16,guide_wire_0016_ultrasound.png,guide_wire_0016_segmentation.png
17,guide_wire_0017_ultrasound.png,guide_wire_0017_segmentation.png
18,guide_wire_0018_ultrasound.png,guide_wire_0018_segmentation.png
19,guide_wire_0019_ultrasound.png,guide_wire_0019_segmentation.png
20,guide_wire_0020_ultrasound.png,guide_wire_0020_segmentation.png
21,guide_wire_0021_ultrasound.png,guide_wire_0021_segmentation.png
22,guide_wire_0022_ultrasound.png,guide_wire_0022_segmentation.png
23,guide_wire_0023_ultrasound.png,guide_wire_0023_segmentation.png
24,guide_wire_0024_ultrasound.png,guide_wire_0024_segmentation.png
25,guide_wire_0025_ultrasound.png,guide_wire_0025_segmentation.png
26,guide_wire_0026_ultrasound.png,guide_wire_0026_segmentation.png
27,guide_wire_0027_ultrasound.png,guide_wire_0027_segmentation.png
28,guide_wire_0028_ultrasound.png,guide_wire_0028_segmentation.png
29,guide_wire_0029_ultrasound.png,guide_wire_0029_segmentation.png
30,guide_wire_0030_ultrasound.png,guide_wire_0030_segmentation.png
31,guide_wire_0031_ultrasound.png,guide_wire_0031_segmentation.png
32,guide_wire_0032_ultrasound.png,guide_wire_0032_segmentation.png
33,guide_wire_0033_ultrasound.png,guide_wire_0033_segmentation.png
34,guide_wire_0034_ultrasound.png,guide_wire_0034_segmentation.png
35,guide_wire_0035_ultrasound.png,guide_wire_0035_segmentation.png
36,guide_wire_0036_ultrasound.png,guide_wire_0036_segmentation.png
37,guide_wire_0037_ultrasound.png,guide_wire_0037_segmentation.png
38,guide_wire_0038_ultrasound.png,guide_wire_0038_segmentation.png
39,guide_wire_0039_ultrasound.png,guide_wire_0039_segmentation.png
40,guide_wire_0040_ultrasound.png,guide_wire_0040_segmentation.png
41,guide_wire_0041_ultrasound.png,guide_wire_0041_segmentation.png
42,guide_wire_0042_ultrasound.png,guide_wire_0042_segmentation.png
43,guide_wire_0043_ultrasound.png,guide_wire_0043_segmentation.png
44,guide_wire_0044_ultrasound.png,guide_wire_0044_segmentation.png
45,guide_wire_0045_ultrasound.png,guide_wire_0045_segmentation.png
46,guide_wire_0046_ultrasound.png,guide_wire_0046_segmentation.png
47,guide_wire_0047_ultrasound.png,guide_wire_0047_segmentation.png
48,guide_wire_0048_ultrasound.png,guide_wire_0048_segmentation.png
49,guide_wire_0049_ultrasound.png,guide_wire_0049_segmentation.png
50,guide_wire_0050_ultrasound.png,guide_wire_0050_segmentation.png
51,guide_wire_0051_ultrasound.png,guide_wire_0051_segmentation.png
52,guide_wire_0052_ultrasound.png,guide_wire_0052_segmentation.png
53,guide_wire_0053_ultrasound.png,guide_wire_0053_segmentation.png
54,guide_wire_0054_ultrasound.png,guide_wire_0054_segmentation.png
55,guide_wire_0055_ultrasound.png,guide_wire_0055_segmentation.png
56,guide_wire_0056_ultrasound.png,guide_wire_0056_segmentation.png
57,guide_wire_0057_ultrasound.png,guide_wire_0057_segmentation.png
58,guide_wire_0058_ultrasound.png,guide_wire_0058_segmentation.png
59,guide_wire_0059_ultrasound.png,guide_wire_0059_segmentation.png
60,guide_wire_0060_ultrasound.png,guide_wire_0060_segmentation.png
61,guide_wire_0061_ultrasound.png,guide_wire_0061_segmentation.png
62,guide_wire_0062_ultrasound.png,guide_wire_0062_segmentation.png
63,guide_wire_0063_ultrasound.png,guide_wire_0063_segmentation.png
64,guide_wire_0064_ultrasound.png,guide_wire_0064_segmentation.png
65,guide_wire_0065_ultrasound.png,guide_wire_0065_segmentation.png
66,guide_wire_0066_ultrasound.png,guide_wire_0066_segmentation.png
67,guide_wire_0067_ultrasound.png,guide_wire_0067_segmentation.png
68,guide_wire_0068_ultrasound.png,guide_wire_0068_segmentation.png
69,guide_wire_0069_ultrasound.png,guide_wire_0069_segmentation.png
70,guide_wire_0070_ultrasound.png,guide_wire_0070_segmentation.png
71,guide_wire_0071_ultrasound.png,guide_wire_0071_segmentation.png
72,guide_wire_0072_ultrasound.png,guide_wire_0072_segmentation.png
73,guide_wire_0073_ultrasound.png,guide_wire_0073_segmentation.png
74,guide_wire_0074_ultrasound.png,guide_wire_0074_segmentation.png
